Code Postal,Prix (€),Surface (m2),Prix du m2,Nbr de Pieces
92100,191000,19.0,10100,1
92160,211000,38.02,5550,2
92160,277000,64.58,4289,3
92360,235000,56.0,4196,3
92600,259000,39.6,6540,2
92000,100000,17.0,5882,1
92360,204000,56.0,3643,3
92350,279000,50.0,5580,3
92360,233500,71.62,3260,4
92290,260000,60.0,4333,3
92500,248000,30.0,8267,1
92140,76000,18.0,4222,1
92000,141750,25.3,5336,1
92100,258960,31.0,8354,1
92700,280000,52.76,5307,3
92700,185000,32.0,5313,3
92390,165000,31.0,5323,1
92100,269000,31.41,8118,2
92500,60000,9.0,6667,1
92300,296000,32.0,8906,2
92500,240000,64.0,3750,4
92140,250000,42.59,5689,2
92140,224000,73.0,3068,4
92250,235000,35.0,6714,2
92700,278000,46.0,6043,3
92290,299000,59.0,5068,3
92370,224000,2 pièces,5068,1 chambre
92120,217000,31.0,7000,1
92600,295000,45.7,6455,2
92230,268000,56.0,4786,4
92140,273000,36.29,7302,2
92000,124909,21.0,5948,1
92600,300000,46.0,6239,2
92160,270000,73.16,3691,3
92600,à partir de 249 000 €,22 à 28 m²,3691,1
92100,158000,17.51,8567,1
92120,199000,28.69,6623,2
92140,99000,18.0,5500,1
92330,à partir de 280 000 €,28 m² min,5500,1
92320,275000,39.58,6620,2
92700,265 000 à 275 000 €,28 à 48 m²,6620,1 à 2 pièces
92600,à partir de 259 200 €,29.0,6620,1
92260,à partir de 192 000 €,31 à 48 m²,6620,1 à 2 pièces
92700,296000,41.6,7115,2
92600,245000,38.26,6404,2
92160,294000,67.24,4372,4
92000,159500,28.35,5291,1
92290,279000,73.0,3822,4
92390,300000,86.0,3488,4
92350,235000,64.0,3514,4
92100,270000,28.0,9643,1
92700,275000,45.0,6111,2
92000,200000,28.0,7143,2
92600,290000,48.0,6042,2
92700,278000,56.0,4964,3
92300,225000,25.0,9000,1
92600,106000,18.0,5889,1
92000,122900,19.0,6468,1
92380,279000,48.0,5604,2
92310,285000,66.0,4318,3
92100,230000,19.0,11600,1
92110,139000,16.0,8063,1
92110,195000,25.0,7400,2
92110,275000,34.0,7735,1
92320,293000,56.03,5229,3
92400,290000,45.0,6444,2
92600,100000,18.0,5556,1
92600,200000,37.0,5405,2
92700,190000,25.24,7528,1
92700,280000,52.0,5385,3
92120,222000,33.37,6443,2
92600,267000,39.0,6538,2
92360,230000,69.0,3333,4
92140,299000,42.4,7052,3
92240,300000,41.46,7236,2
92130,215000,23.8,8613,1
92130,250000,26.96,8902,1
92360,199000,56.0,3554,3
92320,259500,44.46,5646,2
92340,289000,62.0,4435,2
92130,294000,44.0,6500,2
92600,155000,23.0,6304,1
92290,240000,60.0,3828,2
92350,290000,67.0,4182,4
92600,282000,38.0,7105,2
92210,80000,9.0,8356,1
92230,248000,47.71,4998,3
92600,271000,82.0,3173,4
92320,289000,45.0,6422,3
92600,295000,74.0,3833,3
92600,298000,79.0,3633,4
92130,185000,18.0,10300,1
92400,235000,30.0,7833,1
92350,279000,60.0,4650,3
92700,175000,36.0,4861,2
92290,299000,65.0,4600,3
92260,265000,67.0,3955,3
92360,210000,56.0,3750,3
92160,239000,64.0,3734,3
92700,257250,61.0,4016,2
92320,282000,63.0,4476,3
92120,189000,25.86,6922,1
92600,155000,20.0,7750,1
92140,143000,26.0,5192,2
92150,199000,23.0,8217,1
92700,275000,62.0,4435,3
92310,240000,26.0,9231,1
92130,250000,32.0,7438,2
92600,275000,42.0,6310,1
92250,210000,31.95,6573,2
92700,235000,41.95,5602,2
92160,255000,74.36,3429,4
92500,290000,46.13,6048,3
92100,296000,28.76,9709,1
92240,195000,27.0,7222,1
92600,250000,42.0,5952,2
92160,259000,55.0,4528,3
92170,290000,38.57,7343,2
92100,275000,38.31,6787,2
92600,183750,29.0,6336,1
92000,209000,29.0,7207,1
92500,229000,51.0,4314,3
92310,230000,30.0,7667,1
92360,239000,62.0,3855,3
92200,180000,15.0,1200,1
92600,185000,24.86,7442,2
92360,294000,94.0,2979,5
92150,282900,39.0,6923,2
92800,282900,39.0,6923,2
92290,125000,18.67,6695,1
92350,229000,55.0,4164,3
92500,290000,51.0,5686,3
92300,180000,22.75,7473,1
92290,187000,30.0,6000,1
92250,225000,29.0,7414,1
92700,229900,77.0,2986,4
92140,256000,35.0,7314,1
92140,273000,44.0,5909,2
92100,265000,51.53,5143,2
92190,140000,15.0,9333,1
92100,265000,25.0,10600,2
92120,106038,26.0,4078,1
92400,142000,21.64,6562,1
92600,274000,62.29,4174,3
92100,236000,22.31,10600,1
92240,95000,13.0,7308,1
92140,185000,28.31,6535,2
92230,150000,22.0,6818,1
92160,292000,58.12,4818,3
92160,260500,67.02,3656,3
92700,295000,40.0,7375,2
92360,145000,27.0,5370,1
92140,139900,21.0,6662,2
92400,250000,32.0,7813,1
92700,236500,73.0,3240,3
92320,219000,25.0,8760,2
92600,285000,35.0,8143,2
92300,245000,23.0,10700,2
92330,280000,27.0,10400,1
92290,178000,39.0,4564,2
92260,299000,64.0,4453,4
92600,150000,32.55,4608,1
92700,230000,26.0,8846,2
92360,231000,64.0,3438,4
92320,169600,22.87,7171,1
92700,255000,35.56,7171,2
92300,299000,32.09,9006,2
92390,300000,86.0,3488,4
92270,180000,26.0,6923,2
92400,250000,30.0,8067,1
92000,232000,44.0,5273,2
92170,178500,20.65,8232,1
92240,166000,15.07,1100,1
92240,249400,29.03,8095,2
92100,189000,15.0,12600,1
92360,299990,94.0,3191,5
92600,75000,8.0,8375,1
92360,212500,70.0,3036,4
92140,275000,42.01,6332,2
92100,299500,29.07,10300,1
92700,225000,41.0,5488,2
92600,287000,64.0,4484,3
92290,208000,35.0,5943,2
92320,252 000 à 284 000 €,28 à 31 m²,5943,1
92250,285000,25.26,11300,1
92110,205000,21.22,9213,1
92320,198000,42.0,4714,2
92000,249000,41.54,5705,2
92000,255000,42.98,5933,2
92600,268000,36.43,7357,2
92600,295000,40.01,7123,2
92110,299000,33.0,8788,2
92100,58000,6.0,9667,1
92600,150000,20.0,7500,1
92500,298000,66.12,4507,3
92130,299000,35.14,8167,1
92700,294000,58.0,5069,3
92700,150000,18.43,8139,1
92150,240000,34.0,7059,1
92300,280000,33.0,8485,2
92110,240000,32.19,7456,2
92270,76000,10.0,7600,1
92500,200000,29.0,6897,1
92000,295900,55.0,5380,3
92100,190000,14.57,1300,1
92600,120000,15.66,7663,1
92200,260000,25.0,10400,2
92320,279000,29.0,9621,1
92100,295000,33.67,8762,2
92290,289000,67.0,4313,3
92300,260000,26.68,9370,2
92600,245000,41.42,5915,2
92120,118250,25.0,4730,1
92600,85000,11.0,7727,1
92160,189900,51.0,3724,3
92160,229000,62.56,3660,4
92700,295000,48.0,6146,2
92600,190000,25.61,7419,2
92140,240000,36.87,6509,2
92250,290000,45.0,6444,2
92600,235000,43.23,5436,3
92160,269000,64.0,3984,3
92200,127800,13.17,9704,1
92160,279000,62.79,4443,3
92290,179000,34.0,5265,1
92600,249000,34.0,7049,2
92140,250000,44.0,5409,2
92170,299000,43.12,6667,2
92200,175000,20.0,8750,1
92600,144500,19.48,7418,1
92330,174000,22.76,7645,1
92360,283000,82.0,3293,5
92120,200000,27.0,7222,1
92120,200000,27.0,7222,1
92170,180000,22.0,8182,1
92100,209000,24.42,8229,1
92170,177915,21.0,8472,1
92170,294915,54.0,5461,2
92300,85000,9.0,9444,1
92310,244505,42.0,5822,2
92600,200000,30.78,6498,2
92600,217000,29.17,7439,1
92330,121600,14.0,8686,1
