,Code Postal,Prix (€),Surface (m2),Prix du m2,Nbr de Pieces
481,92110,275000,34.0,7735,1
482,92320,293000,56.03,5229,3
483,92400,290000,45.0,6444,2
484,92600,100000,18.0,5556,1
485,92600,200000,37.0,5405,2
486,92700,190000,25.24,7528,1
487,92700,280000,52.0,5385,3
488,92120,222000,33.37,6443,2
489,92600,267000,39.0,6538,2
490,92360,230000,69.0,3333,4
491,92140,299000,42.4,7052,3
492,92240,300000,41.46,7236,2
493,92130,215000,23.8,8613,1
494,92130,250000,26.96,8902,1
495,92360,199000,56.0,3554,3
496,92320,259500,44.46,5646,2
497,92340,289000,62.0,4435,2
498,92130,294000,44.0,6500,2
499,92600,155000,23.0,6304,1
500,92290,240000,60.0,3828,2
501,92350,290000,67.0,4182,4
502,92600,282000,38.0,7105,2
503,92210,80000,9.0,8356,1
504,92230,248000,47.71,4998,3
505,92600,271000,82.0,3173,4
506,92320,289000,45.0,6422,3
507,92600,295000,74.0,3833,3
508,92600,298000,79.0,3633,4
509,92130,185000,18.0,10300,1
510,92400,235000,30.0,7833,1
511,92350,279000,60.0,4650,3
512,92700,175000,36.0,4861,2
513,92290,299000,65.0,4600,3
514,92260,265000,67.0,3955,3
515,92360,210000,56.0,3750,3
516,92160,239000,64.0,3734,3
517,92700,257250,61.0,4016,2
518,92320,282000,63.0,4476,3
519,92120,189000,25.86,6922,1
520,92600,155000,20.0,7750,1
521,92140,143000,26.0,5192,2
522,92150,199000,23.0,8217,1
523,92700,275000,62.0,4435,3
524,92310,240000,26.0,9231,1
525,92130,250000,32.0,7438,2
526,92600,275000,42.0,6310,1
527,92250,210000,31.95,6573,2
528,92700,235000,41.95,5602,2
529,92160,255000,74.36,3429,4
530,92500,290000,46.13,6048,3
531,92100,296000,28.76,9709,1
532,92240,195000,27.0,7222,1
533,92600,250000,42.0,5952,2
534,92160,259000,55.0,4528,3
535,92170,290000,38.57,7343,2
536,92100,275000,38.31,6787,2
537,92600,183750,29.0,6336,1
538,92000,209000,29.0,7207,1
539,92500,229000,51.0,4314,3
540,92310,230000,30.0,7667,1
541,92360,239000,62.0,3855,3
542,92200,180000,15.0,1200,1
543,92600,185000,24.86,7442,2
544,92360,294000,94.0,2979,5
545,92150,282900,39.0,6923,2
546,92800,282900,39.0,6923,2
547,92290,125000,18.67,6695,1
548,92350,229000,55.0,4164,3
549,92500,290000,51.0,5686,3
550,92300,180000,22.75,7473,1
551,92290,187000,30.0,6000,1
552,92250,225000,29.0,7414,1
553,92700,229900,77.0,2986,4
554,92140,256000,35.0,7314,1
555,92140,273000,44.0,5909,2
556,92100,265000,51.53,5143,2
557,92190,140000,15.0,9333,1
558,92100,265000,25.0,10600,2
559,92120,106038,26.0,4078,1
560,92400,142000,21.64,6562,1
561,92600,274000,62.29,4174,3
562,92100,236000,22.31,10600,1
563,92240,95000,13.0,7308,1
564,92140,185000,28.31,6535,2
565,92230,150000,22.0,6818,1
566,92160,292000,58.12,4818,3
567,92160,260500,67.02,3656,3
568,92700,295000,40.0,7375,2
569,92360,145000,27.0,5370,1
570,92140,139900,21.0,6662,2
571,92400,250000,32.0,7813,1
572,92700,236500,73.0,3240,3
573,92320,219000,25.0,8760,2
574,92600,285000,35.0,8143,2
575,92300,245000,23.0,10700,2
576,92330,280000,27.0,10400,1
577,92290,178000,39.0,4564,2
578,92260,299000,64.0,4453,4
579,92600,150000,32.55,4608,1
580,92700,230000,26.0,8846,2
581,92360,231000,64.0,3438,4
582,92320,169600,22.87,7171,1
583,92700,255000,35.56,7171,2
584,92300,299000,32.09,9006,2
585,92390,300000,86.0,3488,4
586,92270,180000,26.0,6923,2
587,92400,250000,30.0,8067,1
588,92000,232000,44.0,5273,2
589,92170,178500,20.65,8232,1
590,92240,166000,15.07,1100,1
591,92240,249400,29.03,8095,2
592,92100,189000,15.0,12600,1
593,92360,299990,94.0,3191,5
594,92600,75000,8.0,8375,1
595,92360,212500,70.0,3036,4
596,92140,275000,42.01,6332,2
597,92100,299500,29.07,10300,1
598,92700,225000,41.0,5488,2
599,92600,287000,64.0,4484,3
600,92290,208000,35.0,5943,2
601,92320,252 000 à 284 000 €,28 à 31 m²,5943,1
602,92250,285000,25.26,11300,1
603,92110,205000,21.22,9213,1
604,92320,198000,42.0,4714,2
605,92000,249000,41.54,5705,2
606,92000,255000,42.98,5933,2
607,92600,268000,36.43,7357,2
608,92600,295000,40.01,7123,2
609,92110,299000,33.0,8788,2
610,92100,58000,6.0,9667,1
611,92600,150000,20.0,7500,1
612,92500,298000,66.12,4507,3
613,92130,299000,35.14,8167,1
614,92700,294000,58.0,5069,3
615,92700,150000,18.43,8139,1
616,92150,240000,34.0,7059,1
617,92300,280000,33.0,8485,2
618,92110,240000,32.19,7456,2
619,92270,76000,10.0,7600,1
620,92500,200000,29.0,6897,1
621,92000,295900,55.0,5380,3
622,92100,190000,14.57,1300,1
623,92600,120000,15.66,7663,1
624,92200,260000,25.0,10400,2
625,92320,279000,29.0,9621,1
626,92100,295000,33.67,8762,2
627,92290,289000,67.0,4313,3
628,92300,260000,26.68,9370,2
629,92600,245000,41.42,5915,2
630,92120,118250,25.0,4730,1
631,92600,85000,11.0,7727,1
632,92160,189900,51.0,3724,3
633,92160,229000,62.56,3660,4
634,92700,295000,48.0,6146,2
635,92600,190000,25.61,7419,2
636,92140,240000,36.87,6509,2
637,92250,290000,45.0,6444,2
638,92600,235000,43.23,5436,3
639,92160,269000,64.0,3984,3
