,Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
1549,Volkswagen Up,13599.0,23/12/2021,0.0,450.0,Essence,Boîte manuelle 5 rapports,4.0,68.0
1550,Nissan Micra,13999.0,18/06/2019,0.0,31689.0,Essence,Boîte manuelle 5 rapports,5.0,100.0
1551,Volkswagen Tiguan,21999.0,15/05/2018,0.0,75095.0,Diesel,Boîte manuelle 6 rapports,8.0,150.0
1552,Ford Focus,15399.0,08/11/2018,0.0,61815.0,Essence,Boîte manuelle 6 rapports,5.0,100.0
1553,Volkswagen T-Roc,21999.0,30/11/2018,0.0,52462.0,Essence,Boîte manuelle 6 rapports,8.0,150.0
1554,Renault Scenic 3,11799.0,28/09/2016,0.0,93901.0,Essence,Boîte manuelle 6 rapports,6.0,115.0
1555,Renault Scénic 4,17999.0,25/06/2018,0.0,58027.0,Diesel,Boîte manuelle 6 rapports,7.0,130.0
1556,Renault Mégane 3,13999.0,26/11/2015,0.0,68402.0,Essence,Boîte automatique 6 rapports,7.0,132.0
1557,Ford Ecosport,15499.0,16/11/2018,0.0,47294.0,Essence,Boîte manuelle 6 rapports,7.0,125.0
1558,Smart FORTWO,14999.0,28/09/2018,0.0,35291.0,Essence,Boîte automatique 6 rapports,4.0,70.0
1559,Audi A1 Sportback,26199.0,01/06/2021,0.0,12630.0,Essence,Boîte manuelle,5.0,108.0
1560,Fiat 500C,16999.0,03/09/2019,0.0,26766.0,Essence,Boîte automatique 5 rapports,4.0,69.0
1561,Opel Crossland X,17499.0,29/12/2020,0.0,17835.0,Essence,Boîte manuelle 6 rapports,6.0,110.0
1562,Audi Q2,22499.0,22/03/2017,0.0,105752.0,Diesel,Boîte automatique 7 rapports,8.0,150.0
1563,Citroën C3 Aircross Nouveau,17999.0,22/03/2022,0.0,14432.0,Essence,Boîte manuelle 6 rapports,6.0,110.0
1564,Renault Mégane 4 Estate,20499.0,06/04/2020,0.0,73646.0,Essence,Boîte manuelle 6 rapports,6.0,115.0
1565,Kia Stonic,16999.0,10/12/2019,0.0,37687.0,Essence,Boîte manuelle 5 rapports,5.0,100.0
1566,Suzuki Swift,17499.0,22/06/2020,0.0,23684.0,Essence,Boîte manuelle 5 rapports,4.0,90.0
1567,Volkswagen TAIGO,27299.0,01/09/2022,1.0,0.0,Essence,Boîte automatique 7 rapports,6.0,110.0
1568,Seat Ibiza,16499.0,18/07/2020,0.0,37876.0,Diesel,Boîte manuelle 5 rapports,5.0,95.0
1569,Mercedes GLA,23999.0,31/10/2018,0.0,127230.0,Diesel,Boîte automatique,9.0,170.0
1570,Mercedes Classe B,18499.0,01/03/2017,0.0,54005.0,Diesel,Boîte manuelle 6 rapports,5.0,109.0
1571,Ford Kuga,19499.0,07/08/2017,0.0,83920.0,Diesel,Boîte manuelle 6 rapports,8.0,150.0
1572,Ford C-Max,13999.0,24/03/2017,0.0,97013.0,Essence,Boîte manuelle 6 rapports,6.0,125.0
1573,DS DS 4,15999.0,23/01/2018,0.0,48700.0,Essence,Boîte manuelle 6 rapports,7.0,131.0
1574,Jeep Renegade,25320.0,26/03/2021,0.0,11268.0,Essence,Boîte automatique,8.0,150.0
1575,Opel Mokka X,16299.0,26/02/2019,0.0,70339.0,Diesel,Boîte manuelle 6 rapports,7.0,136.0
1576,Volkswagen Golf Sportsvan,16999.0,16/11/2017,0.0,105261.0,Essence,Boîte automatique 7 rapports,7.0,125.0
1577,Mini Countryman,18999.0,21/11/2017,0.0,82503.0,Diesel,Boîte manuelle 6 rapports,8.0,150.0
1578,Hyundai Tucson,19499.0,08/11/2017,0.0,81107.0,Diesel,Boîte automatique 7 rapports,7.0,141.0
1579,Toyota Auris,20299.0,15/03/2017,0.0,41734.0,Hybride essence,Boîte automatique 1 rapport,4.0,98.0
1580,Kia Sportage,22499.0,01/09/2020,0.0,39919.0,Diesel,Boîte manuelle,6.0,115.0
1581,Fiat TIPO Station Wagon,14999.0,09/03/2018,0.0,64148.0,Essence,Boîte manuelle 6 rapports,7.0,120.0
1582,Volkswagen Golf 8,24999.0,01/08/2021,0.0,31535.0,Essence,Boîte manuelle,7.0,147.0
1583,DS DS3 Crossback,26699.0,28/09/2021,0.0,22677.0,Diesel,Boîte manuelle,6.0,110.0
1584,Seat Arona,17999.0,05/06/2018,0.0,58925.0,Essence,Boîte manuelle 6 rapports,8.0,150.0
1585,Volkswagen T-CROSS,21699.0,05/05/2022,0.0,3719.0,Essence,Boîte manuelle 5 rapports,5.0,95.0
1586,Citroën C4 Nouvelle,22899.0,24/03/2021,0.0,18090.0,Essence,Boîte manuelle,6.0,130.0
1587,BMW Série 2 Active Tourer,20999.0,27/06/2018,0.0,87728.0,Essence,Boîte automatique 7 rapports,7.0,140.0
1588,Dacia SPRING,19299.0,28/10/2021,0.0,9541.0,,,,2.0
1589,DS DS7 Crossback,30199.0,13/04/2018,0.0,80461.0,Essence,Boîte automatique,13.0,225.0
1590,Citroën Grand C4 Picasso,22399.0,29/12/2017,0.0,53506.0,Diesel,Boîte automatique,6.0,120.0
1591,Nissan Leaf,18499.0,21/08/2019,0.0,94005.0,270 km,Électrique,,4.0
1592,Seat Ateca,22499.0,30/07/2019,0.0,54315.0,Essence,Boîte manuelle 6 rapports,8.0,150.0
1593,Fiat Fiorino,18399.0,25/07/2022,1.0,0.0,,,5.0,95.0
1594,Skoda Kamiq,19999.0,10/06/2020,0.0,22808.0,Essence,Boîte manuelle,,4.0
1595,Opel Grandland X,21999.0,22/05/2020,0.0,24321.0,Diesel,Boîte manuelle 6 rapports,7.0,130.0
1596,Mini Clubman,23099.0,23/12/2019,0.0,51141.0,Diesel,Boîte automatique,8.0,150.0
1597,Toyota YARIS HYBRIDE,26199.0,12/08/2022,1.0,0.0,Hybride essence,Boîte automatique 1 rapport,5.0,92.0
1598,Abarth 595,20776.0,19/07/2018,0.0,38869.0,Essence,Boîte manuelle,8.0,160.0
1599,Seat Leon,22799.0,02/06/2021,0.0,10540.0,Diesel,Boîte manuelle,6.0,116.0
1600,Toyota RAV4,25999.0,19/05/2016,0.0,90475.0,Hybride essence,Boîte automatique 1 rapport,8.0,155.0
1601,Lexus CT,20499.0,30/11/2017,0.0,66745.0,Hybride essence,Boîte automatique 1 rapport,5.0,99.0
1602,Peugeot 508,27799.0,22/05/2019,0.0,43706.0,Essence,Boîte automatique 8 rapports,10.0,180.0
1603,Opel Crossland,20999.0,12/11/2020,0.0,9310.0,,,7.0,130.0
1604,Opel CROSSLAND NOUVEAU,20799.0,29/01/2021,0.0,15254.0,Diesel,Boîte automatique 6 rapports,6.0,120.0
1605,Kia Ceed,21691.0,15/09/2021,0.0,27855.0,,,8.0,160.0
1606,Renault Kadjar Nouveau,20499.0,05/08/2019,0.0,47793.0,Diesel,Boîte automatique 7 rapports,6.0,115.0
1607,Peugeot 508 SW,27499.0,24/08/2020,0.0,50184.0,Essence,Boîte automatique 8 rapports,10.0,180.0
1608,Citroën GRAND C4 SPACETOURER,26999.0,30/03/2021,0.0,29580.0,Essence,Boîte manuelle 6 rapports,7.0,130.0
1609,Renault Arkana,33899.0,01/04/2022,1.0,0.0,Micro-hybride essence,Boîte automatique 7 rapports,7.0,140.0
1610,Skoda Scala,22399.0,08/11/2021,0.0,25747.0,Essence,Boîte manuelle,,7.0
1611,Hyundai i30,22754.0,24/02/2022,0.0,9122.0,Essence,Boîte manuelle,,5.0
1612,Volkswagen Golf,26529.0,25/03/2019,0.0,29920.0,Essence,Boîte manuelle,7.0,150.0
1613,Mercedes CLA Shooting Brake,25499.0,16/11/2017,0.0,71719.0,Diesel,Boîte automatique 7 rapports,9.0,177.0
1614,Volkswagen Passat,24946.0,25/02/2020,0.0,19700.0,,,,7.0
1615,Kia Xceed,24999.0,19/03/2020,0.0,19431.0,Essence,Boîte automatique,,7.0
1616,Mazda CX-5,25999.0,26/04/2019,0.0,54913.0,Essence,Boîte manuelle 6 rapports,9.0,165.0
1617,Tesla MODEL 3,39499.0,31/08/2021,0.0,19727.0,448 km,Électrique,,7.0
1618,Skoda Octavia,25799.0,28/07/2021,0.0,22551.0,Diesel,Boîte manuelle,,5.0
1619,Audi A4,26699.0,25/03/2016,0.0,82900.0,Diesel,Boîte automatique 7 rapports,12.0,218.0
1620,Alfa Romeo Stelvio,27099.0,06/02/2019,0.0,114754.0,Diesel,Boîte automatique,9.0,160.0
1621,Renault Talisman Estate,27999.0,08/07/2020,0.0,34111.0,Diesel,Boîte automatique 6 rapports,11.0,200.0
1622,Jeep Cherokee,26499.0,29/11/2018,0.0,71555.0,Diesel,Boîte automatique 9 rapports,10.0,185.0
1623,Kia Niro,32999.0,14/01/2021,0.0,28564.0,455 km,Électrique,,3.0
1624,Alfa Romeo Giulia,29499.0,30/10/2018,0.0,25237.0,Essence,Boîte automatique 8 rapports,11.0,200.0
1625,Ford Focus SW,28959.0,04/11/2021,0.0,14074.0,Essence,Boîte automatique,8.0,150.0
1626,BMW Série 3,30499.0,24/12/2019,0.0,55938.0,Essence,Boîte automatique 8 rapports,10.0,184.0
1627,Mercedes Classe A Nouvelle,26999.0,29/08/2018,0.0,59458.0,Diesel,Boîte automatique 7 rapports,6.0,116.0
1628,Audi A1 Citycarver,27699.0,01/02/2021,0.0,16060.0,,,5.0,108.0
1629,Renault Koleos,29999.0,20/01/2021,0.0,25865.0,Essence,Boîte automatique 7 rapports,8.0,160.0
1630,Suzuki VITARA,28899.0,28/10/2022,1.0,0.0,Micro-hybride essence,Boîte automatique 6 rapports,5.0,102.0
1631,Mercedes Classe C,31999.0,18/06/2020,0.0,68075.0,Diesel,Boîte automatique 9 rapports,8.0,160.0
1632,Jeep Compass,32115.0,28/02/2022,0.0,19857.0,Diesel,Boîte manuelle,7.0,131.0
1633,Skoda Karoq,33104.0,10/03/2022,0.0,9633.0,Essence,Boîte automatique,,7.0
1634,Toyota Corolla,29999.0,02/12/2022,1.0,0.0,Hybride essence,Boîte automatique 1 rapport,5.0,98.0
1635,Audi A4 Avant,34323.0,17/06/2019,0.0,51848.0,Diesel,Boîte automatique,10.0,190.0
1636,BMW X3,32299.0,25/10/2018,0.0,51699.0,Diesel,Boîte automatique 8 rapports,7.0,150.0
1637,Skoda Kodiaq,30999.0,24/06/2020,0.0,42982.0,Diesel,Boîte automatique 7 rapports,8.0,150.0
1638,Audi A5 Sportback,32099.0,09/04/2018,0.0,74985.0,Diesel,Boîte automatique,7.0,150.0
1639,Volkswagen Touran,36199.0,01/04/2021,0.0,32075.0,Diesel,Boîte automatique,7.0,147.0
1640,Peugeot 3008 Nouveau,37499.0,24/06/2021,0.0,7350.0,Hybride essence rechargeable,Boîte automatique 8 rapports,10.0,180.0
1641,Nissan Qashqai Nouveau,34485.0,31/03/2022,0.0,20886.0,Micro-hybride essence,Boîte automatique,8.0,158.0
1642,Mercedes GLC,35999.0,12/06/2018,0.0,62716.0,Diesel,Boîte automatique 9 rapports,12.0,204.0
1643,Land Rover Range Rover Evoque,37799.0,30/08/2018,0.0,67420.0,Diesel,Boîte automatique,10.0,180.0
1644,Audi Q3 Nouveau,39999.0,01/01/2023,1.0,0.0,Micro-hybride essence,Boîte automatique 7 rapports,8.0,150.0
1645,Cupra Formentor,35753.0,24/03/2022,0.0,5083.0,,,8.0,150.0
1646,Mazda CX-30,34799.0,25/11/2022,1.0,0.0,,,10.0,186.0
1647,Citroën C5 X,42999.0,28/10/2022,1.0,0.0,Hybride essence rechargeable,Boîte automatique 8 rapports,10.0,181.0
1648,Ford Mondeo SW,35699.0,16/05/2022,1.0,0.0,,,7.0,187.0
1649,Mitsubishi Eclipse Cross,35399.0,03/03/2022,0.0,13358.0,,,5.0,98.0
1650,BMW X2,36599.0,03/07/2019,0.0,48842.0,,,10.0,190.0
1651,Audi A3 Sportback Nouvelle,37299.0,01/12/2022,1.0,0.0,Micro-hybride essence,Boîte automatique 7 rapports,8.0,150.0
1652,Peugeot TRAVELLER,36999.0,07/11/2019,0.0,41358.0,Diesel,Boîte manuelle 6 rapports,8.0,150.0
1653,Mercedes Classe A,37999.0,01/10/2022,1.0,0.0,Diesel,Boîte automatique 8 rapports,6.0,116.0
1654,Renault MASTER FOURGON,38799.0,26/08/2022,1.0,0.0,Diesel,Boîte manuelle 6 rapports,8.0,150.0
1655,BMW Série 5 Touring,37999.0,27/05/2020,0.0,51054.0,Diesel,Boîte automatique 8 rapports,10.0,190.0
1656,Audi A3,41988.0,24/03/2022,0.0,10.0,Essence,Boîte automatique,8.0,150.0
1657,Volkswagen Tiguan Allspace,41200.0,14/04/2022,0.0,13410.0,Diesel,Boîte automatique,8.0,150.0
1658,Skoda Superb,39299.0,25/03/2021,0.0,28836.0,Hybride essence rechargeable,Boîte automatique,,12.0
1659,Opel MOVANO FOURGON,37599.0,13/09/2022,1.0,0.0,,,7.0,165.0
1660,Volkswagen T-ROC NOUVEAU,39099.0,31/08/2022,1.0,0.0,,,8.0,150.0
1661,Volkswagen T-Roc Cabriolet,38699.0,15/09/2022,1.0,0.0,,,8.0,150.0
1662,Audi Q3 Sportback,41499.0,01/07/2021,0.0,7030.0,Essence,Boîte manuelle,7.0,147.0
1663,Mercedes Classe C Break,39999.0,14/01/2021,0.0,28854.0,,,,8.0
1664,Hyundai Tucson Nouveau,44499.0,22/09/2021,0.0,18845.0,Hybride essence rechargeable,Boîte automatique 6 rapports,10.0,180.0
1665,BMW Série 2 Gran Coupé,43199.0,22/11/2021,0.0,13256.0,,,,9.0
1666,Toyota RAV 4 Nouveau,44599.0,03/01/2023,1.0,0.0,Hybride essence,Boîte automatique 1 rapport,,9.0
1667,Volvo XC60,48995.0,29/09/2021,0.0,2000.0,,,11.0,197.0
1668,Volkswagen Passat SW,46599.0,01/12/2021,0.0,7855.0,Diesel,Boîte automatique,10.0,197.0
