Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
Alfa Romeo Giulietta,14999.0,30/03/2015,0,98757,Diesel,Boîte manuelle 6 rapports,7.0,150.0
Hyundai i20,15499.0,08/12/2021,0,20181,Essence,Boîte manuelle,,4.0
Renault Grand Scénic 4,20999.0,04/03/2020,0,44520,Diesel,Boîte manuelle 6 rapports,6.0,120.0
Opel Mokka X,14499.0,15/02/2017,0,104909,Diesel,Boîte manuelle 6 rapports,7.0,136.0
Fiat Qubo,10999.0,24/02/2017,0,63076,,,4.0,80.0
Hyundai Tucson,19499.0,20/07/2016,0,33348,Essence,Boîte manuelle 6 rapports,7.0,132.0
Hyundai Tucson,17099.0,21/12/2017,0,90260,Diesel,Boîte manuelle,6.0,115.0
Citroën Berlingo Fourgon,14499.0,26/09/2017,0,71804,Diesel,Boîte manuelle 6 rapports,5.0,120.0
Seat Arona,15999.0,02/05/2018,0,41695,Essence,Boîte manuelle 5 rapports,5.0,95.0
Kia Niro,20699.0,13/12/2016,0,76366,Hybride essence,Boîte automatique 6 rapports,5.0,105.0
Dacia Dokker,14999.0,23/08/2017,0,61300,Essence,Boîte manuelle 5 rapports,6.0,115.0
Citroën Grand C4 Picasso,18999.0,06/04/2018,0,52155,Diesel,Boîte automatique 6 rapports,6.0,120.0
Citroën GRAND C4 SPACETOURER,19299.0,31/05/2019,0,60025,Diesel,Boîte manuelle 6 rapports,6.0,130.0
Opel Grandland X,17499.0,25/03/2019,0,98133,Diesel,Boîte manuelle 6 rapports,7.0,130.0
Skoda Rapid Spaceback,14499.0,21/09/2018,0,37808,Essence,Boîte manuelle 5 rapports,5.0,95.0
Citroën C4 BUSINESS,11999.0,10/04/2015,0,85955,Diesel,Boîte manuelle 5 rapports,5.0,92.0
Seat Ateca,18299.0,02/07/2019,0,93301,Diesel,Boîte manuelle 6 rapports,6.0,115.0
Mini Paceman,13999.0,28/02/2014,0,61524,Essence,Boîte manuelle 6 rapports,7.0,122.0
Mercedes CLA Shooting Brake,22599.0,26/02/2018,0,95565,Diesel,Boîte automatique 7 rapports,9.0,177.0
Ford Mondeo SW,13999.0,27/03/2015,0,117035,,,8.0,150.0
Audi A3 Berline,16699.0,30/01/2015,0,115886,,,7.0,150.0
Fiat Tipo Berline,13699.0,31/03/2018,0,82251,Diesel,Boîte manuelle 6 rapports,6.0,120.0
DS DS3 Crossback,26887.0,07/04/2020,0,37072,Essence,Boîte automatique,,6.0
Kia Soul,15799.0,18/05/2016,0,74326,195 km,Électrique,,1.0
Mazda MAZDA6 WAGON,15299.0,25/01/2017,0,104220,,,7.0,150.0
Citroën C4 Nouvelle,21499.0,04/04/2022,0,17900,Essence,Boîte manuelle,5.0,102.0
Abarth 595,15999.0,29/08/2018,0,19792,Essence,Boîte manuelle 5 rapports,8.0,145.0
Hyundai Ioniq,18999.0,19/12/2017,0,76985,Hybride essence,Boîte automatique 6 rapports,5.0,105.0
Renault Espace 5,20099.0,16/05/2017,0,120610,,,8.0,160.0
Mazda CX-3,17399.0,19/10/2015,0,60663,Essence,Boîte manuelle 6 rapports,7.0,120.0
Opel Astra Sports Tourer,17699.0,12/12/2019,0,31800,Diesel,Boîte automatique 9 rapports,6.0,122.0
Opel CROSSLAND NOUVEAU,16999.0,09/04/2021,0,17515,Essence,Boîte manuelle 5 rapports,5.0,83.0
Honda Jazz,14999.0,06/01/2016,0,40753,Essence,Boîte manuelle 6 rapports,5.0,102.0
Seat Ibiza 3,16999.0,06/12/2017,0,57500,Essence,Boîte manuelle 6 rapports,6.0,115.0
Fiat Tipo Sport Wagon,14499.0,27/02/2018,0,54916,Diesel,Boîte manuelle 6 rapports,6.0,120.0
Mazda Mazda 3,17499.0,21/01/2017,0,55421,Essence,Boîte manuelle 6 rapports,6.0,120.0
Audi Q3,21999.0,24/06/2015,0,111156,Diesel,Boîte automatique 7 rapports,10.0,184.0
Renault Grand Scenic 3,15499.0,12/02/2016,0,59524,Essence,Boîte manuelle 6 rapports,7.0,132.0
Suzuki VITARA,18999.0,06/12/2017,0,62424,Essence,Boîte manuelle 6 rapports,7.0,140.0
Lexus UX,26799.0,25/06/2020,0,41248,Hybride essence,Boîte automatique,,8.0
BMW Série 2 Gran Tourer,14999.0,08/10/2015,0,139360,Diesel,Boîte automatique 8 rapports,7.0,136.0
DS DS 3 Cabriolet,14399.0,29/03/2016,0,64989,,,5.0,110.0
