Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
MERCEDES CLASSE C,21890.0,03-09-2014,1,82500,Diesel,Boîte automatique,9,170
AUDI TT,12480.0,27-11-2006,1,124600,Essence,Boîte manuelle,12,200
AUDI A5,29480.0,13-03-2019,1,57700,Diesel,Boîte automatique,7,150
AUDI A4,24890.0,10-10-2016,1,40200,Essence,Boîte manuelle,8,150
CITROEN C3,6880.0,09-11-2012,1,141200,Essence,Boîte manuelle,4,82
SKODA FABIA,10480.0,18-04-2017,1,114600,Essence,Boîte manuelle,5,90
CHEVROLET SPARK,4480.0,08-09-2012,1,113200,Essence,Boîte manuelle,4,68
BMW SERIE 1,11980.0,26-10-2016,1,150000,Diesel,Boîte manuelle,5,95
SEAT ATECA,21880.0,31-03-2017,1,85200,Diesel,Boîte manuelle,8,150
FIAT DUCATO FOURGON,22890.0,19-04-2019,1,88000,Diesel,Boîte manuelle,8,130
BMW SERIE 1,19880.0,29-04-2016,1,103500,Diesel,Boîte automatique,12,224
VOLKSWAGEN T-ROC,27480.0,03-06-2020,1,12000,Essence,Boîte automatique,8,150
SKODA KODIAQ,30880.0,18-12-2018,1,61500,Diesel,Boîte automatique,8,150
MERCEDES CLASSE C,11890.0,30-06-2011,1,167700,Diesel,Boîte manuelle,11,204
MG ZS,24640.0,26-10-2022,1,10,Essence,Boîte automatique,5,106
MERCEDES CLASSE B,28880.0,14-08-2019,1,34200,Essence,Boîte automatique,7,136
CITROEN C3 SOCIETE,9880.0,25-07-2017,1,33500,Essence,Boîte manuelle,4,68
,,06-09-2016,1,107500,Diesel,Boîte automatique,4,90
BMW K1600,15990.0,Non,1,27200,Essence,Boîte manuelle,15,161
MASERATI COUPÉ,26880.0,24-05-2002,1,112800,Essence,Boîte automatique,33,390
DS DS7 CROSSBACK,31880.0,07-05-2018,1,79800,Diesel,Boîte automatique,9,180
BMW SERIE 3,14880.0,09-07-2015,1,168000,Diesel,Boîte automatique,7,143
AUDI A4,21890.0,30-07-2015,1,75000,Diesel,Boîte automatique,14,245
PEUGEOT 308,7980.0,19-04-2012,1,113000,Diesel,Boîte manuelle,5,92
PEUGEOT 5008,7880.0,30-01-2012,1,164300,Diesel,Boîte manuelle,6,112
JAGUAR XF,16480.0,06-06-2014,1,127900,Diesel,Boîte automatique,11,200
MINI MINI CABRIOLET,12880.0,22-07-2009,1,85800,Essence,Boîte automatique,7,120
JEEP WRANGLER,27880.0,02-02-2010,1,70800,Diesel,Boîte manuelle,11,177
MG ZS,19490.0,17-06-2022,1,10,Essence,Boîte manuelle,7,106
AUDI A1,16880.0,31-10-2016,1,79400,Essence,Boîte automatique,6,125
BMW SERIE 2,20480.0,15-02-2016,1,81900,Diesel,Boîte automatique,8,150
MERCEDES CLASSE GL,23880.0,29-03-2011,1,196300,Diesel,Boîte automatique,18,265
VOLKSWAGEN TIGUAN,30880.0,28-01-2020,1,25700,Diesel,Boîte automatique,8,150
AUDI Q2,24880.0,12-05-2017,1,32700,Diesel,Boîte automatique,6,116
VOLKSWAGEN GOLF,14980.0,16-03-2012,1,101700,Diesel,Boîte automatique,8,140
DACIA LOGAN,6980.0,20-10-2008,1,35000,Diesel,Boîte manuelle,4,70
CITROEN C4,4480.0,05-05-2009,1,158200,Diesel,Boîte manuelle,6,110
AUDI Q3,19480.0,06-03-2015,1,121200,Diesel,Boîte automatique,8,150
